Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees,date,pm1,pm2_5,pm10,upTimeMin,rssi_dbm,temp,humidity,pm2_5atm
TS623,10/30/2020 08:34 UTC,48,94,0,0,2020-10-30 08:00:00 UTC,20.81,25.48,27.19,3635.0,-21.4,71.0,30.0,25.48
TS623,10/30/2020 14:34 UTC,39,100,0,0,2020-10-30 14:00:00 UTC,28.79,37.11,40.51,3995.0,-20.4,60.8,39.6,34.8
TS623,10/30/2020 20:34 UTC,77,25,5,317,2020-10-30 20:00:00 UTC,29.66,39.81,44.62,4355.0,-18.4,78.0,24.2,35.5
TS623,10/31/2020 02:34 UTC,59,52,2,316,2020-10-31 02:00:00 UTC,28.29,35.07,36.9,4715.0,-18.2,81.0,26.4,32.74
TS623,10/31/2020 08:34 UTC,51,99,3,74,2020-10-31 08:00:00 UTC,30.14,38.26,39.9,5075.0,-23.8,73.0,28.0,34.71
TS623,10/31/2020 14:34 UTC,39,100,2,328,2020-10-31 14:00:00 UTC,39.64,53.05,56.6,5435.0,-19.6,61.2,34.2,43.46
TS623,10/31/2020 20:34 UTC,78,29,2,226,2020-10-31 20:00:00 UTC,24.87,30.71,32.13,5795.0,-20.8,80.0,25.6,30.03
TS623,11/01/2020 02:34 UTC,59,48,2,343,2020-11-01 02:00:00 UTC,26.98,33.97,35.67,6155.0,-20.8,79.8,27.0,31.93
TS623,11/01/2020 08:34 UTC,50,99,2,72,2020-11-01 08:00:00 UTC,33.18,43.39,45.71,6515.0,-20.8,71.0,31.0,37.79
TS623,11/01/2020 14:34 UTC,43,95,2,12,2020-11-01 14:00:00 UTC,35.73,47.36,50.12,6875.0,-18.4,67.0,32.0,39.92
TS623,11/01/2020 20:34 UTC,81,27,3,253,2020-11-01 20:00:00 UTC,37.15,49.69,52.76,7235.0,-18.6,80.6,24.4,40.96
TS623,11/02/2020 02:34 UTC,62,46,2,335,2020-11-02 02:00:00 UTC,32.18,41.65,43.62,7595.0,-23.8,78.0,29.2,36.73
TS623,11/02/2020 08:34 UTC,47,90,2,345,2020-11-02 08:00:00 UTC,38.8,52.63,55.94,7955.0,-20.4,71.0,33.8,42.33
TS623,11/02/2020 14:34 UTC,45,100,1,261,2020-11-02 14:00:00 UTC,71.71,101.43,112.16,8315.0,-21.4,64.4,35.8,66.93
TS623,11/02/2020 20:34 UTC,77,31,2,259,2020-11-02 20:00:00 UTC,30.1,40.1,42.58,8675.0,-21.6,79.6,24.8,35.76
TS623,11/03/2020 02:34 UTC,59,55,2,262,2020-11-03 02:00:00 UTC,32.59,44.46,49.35,9035.0,-23.2,79.0,27.0,38.22
TS623,11/03/2020 08:34 UTC,51,94,5,71,2020-11-03 08:00:00 UTC,29.68,39.24,41.32,9395.0,-24.2,72.0,28.2,35.29
TS623,11/03/2020 14:34 UTC,47,99,5,69,2020-11-03 14:00:00 UTC,31.6,43.5,46.99,9755.0,-22.6,64.4,33.0,37.86
TS623,11/03/2020 20:34 UTC,79,31,2,233,2020-11-03 20:00:00 UTC,41.71,58.59,63.91,10115.0,-22.0,78.6,28.0,44.88
TS623,11/04/2020 02:34 UTC,65,43,2,330,2020-11-04 02:00:00 UTC,24.62,32.52,34.81,10475.0,-24.8,79.0,26.2,31.27
TS623,11/04/2020 08:34 UTC,53,100,0,0,2020-11-04 08:00:00 UTC,16.32,20.26,21.58,10835.0,-21.8,73.0,30.0,20.26
TS623,11/04/2020 14:34 UTC,42,100,2,343,2020-11-04 14:00:00 UTC,61.52,72.21,75.23,11195.0,-20.4,66.0,40.6,51.54
TS623,11/04/2020 20:34 UTC,77,30,4,345,2020-11-04 20:00:00 UTC,8.0,9.09,9.67,11555.0,-20.2,78.4,24.4,9.09
TS623,11/05/2020 02:34 UTC,60,55,2,279,2020-11-05 02:00:00 UTC,8.6,10.12,10.87,11915.0,-26.4,78.0,30.0,10.12
TS623,11/05/2020 08:34 UTC,51,100,4,72,2020-11-05 08:00:00 UTC,9.5,11.5,12.43,12275.0,-23.0,72.0,33.0,11.5
TS623,11/05/2020 14:34 UTC,45,100,1,11,2020-11-05 14:00:00 UTC,18.57,23.09,25.0,12635.0,-20.8,61.2,41.0,23.09
TS623,11/05/2020 20:34 UTC,78,36,3,103,2020-11-05 20:00:00 UTC,16.45,20.33,21.59,12995.0,-22.4,79.4,30.4,20.33
TS623,11/06/2020 02:34 UTC,62,96,1,145,2020-11-06 02:00:00 UTC,16.88,21.68,24.59,13355.0,-22.4,77.0,34.8,21.68
TS623,11/06/2020 08:34 UTC,54,93,8,100,2020-11-06 08:00:00 UTC,17.52,21.61,22.96,13715.0,-23.6,72.2,32.4,21.61
TS623,11/06/2020 14:34 UTC,50,100,7,354,2020-11-06 14:00:00 UTC,21.06,27.33,29.43,14075.0,-24.0,66.0,47.2,27.2
TS623,11/06/2020 20:34 UTC,63,31,13,342,2020-11-06 20:00:00 UTC,3.62,3.93,4.29,14435.0,-24.2,72.0,21.0,3.93
TS623,11/07/2020 02:34 UTC,55,55,12,262,2020-11-07 02:00:00 UTC,5.28,6.3,7.18,14795.0,-22.6,68.2,29.8,6.3
TS623,11/07/2020 08:34 UTC,48,99,4,119,2020-11-07 08:00:00 UTC,3.8,4.17,4.56,15155.0,-21.4,67.0,36.0,4.17
TS623,11/07/2020 14:34 UTC,47,100,4,270,2020-11-07 14:00:00 UTC,4.05,4.31,4.4,15515.0,-21.8,63.0,44.0,4.31
TS623,11/07/2020 20:34 UTC,54,83,5.99,320,2020-11-07 20:00:00 UTC,9.03,10.06,10.5,15875.0,-25.0,62.0,49.0,10.06
TS623,11/08/2020 02:34 UTC,49,100,3,178,2020-11-08 02:00:00 UTC,5.64,6.0,6.13,16235.0,-21.4,67.8,41.0,6.0
TS623,11/08/2020 08:34 UTC,47,100,5.99,114,2020-11-08 08:00:00 UTC,10.46,11.45,11.86,16595.0,-24.4,63.0,43.2,11.45
TS623,11/08/2020 14:34 UTC,42,100,1,204,2020-11-08 14:00:00 UTC,18.73,23.8,26.09,16955.0,-20.2,61.8,42.0,19.17
TS623,11/08/2020 20:34 UTC,58,32,14.01,318,2020-11-08 20:00:00 UTC,3.79,4.08,4.39,17315.0,-24.0,66.0,26.0,4.08
TS623,11/09/2020 02:34 UTC,45,74,2,158,2020-11-09 02:00:00 UTC,8.93,9.22,9.49,17675.0,-20.4,63.0,29.0,9.22
TS623,11/09/2020 08:34 UTC,37,100,2,76,2020-11-09 08:00:00 UTC,13.77,14.23,14.54,18035.0,-20.8,60.2,27.8,14.23
TS623,11/09/2020 14:34 UTC,33,100,3,88,2020-11-09 14:00:00 UTC,10.56,11.85,12.82,18395.0,-23.2,54.0,32.0,11.85
TS623,11/09/2020 20:34 UTC,54,42,5.99,339,2020-11-09 20:00:00 UTC,14.23,15.03,15.62,18755.0,-22.0,60.0,23.0,15.03
TS623,11/10/2020 02:34 UTC,44,75,2,338,2020-11-10 02:00:00 UTC,9.33,10.3,10.89,19115.0,-20.2,61.0,28.0,10.3
TS623,11/10/2020 08:34 UTC,36,85,2,341,2020-11-10 08:00:00 UTC,24.78,25.56,25.78,19475.0,-22.0,60.0,31.0,25.07
TS623,11/10/2020 14:34 UTC,33,100,2,14,2020-11-10 14:00:00 UTC,31.73,38.34,41.09,19835.0,-21.6,53.0,36.2,35.66
TS623,11/10/2020 20:34 UTC,59,34,3,70,2020-11-10 20:00:00 UTC,16.65,18.64,19.47,20195.0,-21.6,64.0,24.0,18.58
TS623,11/11/2020 02:34 UTC,49,67,2,69,2020-11-11 02:00:00 UTC,19.03,23.04,24.94,20555.0,-21.8,64.0,27.0,22.95
TS623,11/11/2020 08:34 UTC,42,100,5.99,87,2020-11-11 08:00:00 UTC,15.88,19.29,20.31,20915.0,-21.8,61.0,32.2,19.29
TS623,11/11/2020 14:34 UTC,38,100,5,92,2020-11-11 14:00:00 UTC,30.36,38.41,41.91,21275.0,-19.6,54.0,39.0,36.38
TS623,11/11/2020 20:34 UTC,60,38,3,179,2020-11-11 20:00:00 UTC,24.44,32.95,35.69,21635.0,-22.0,65.4,27.0,31.54
TS623,11/12/2020 02:34 UTC,50,56,2,279,2020-11-12 02:00:00 UTC,21.93,29.43,33.06,21995.0,-21.2,65.0,34.4,29.11
TS623,11/12/2020 08:34 UTC,41,100,1,222,2020-11-12 08:00:00 UTC,21.94,28.39,30.06,22355.0,-21.4,63.0,36.0,28.35
TS623,11/12/2020 14:34 UTC,35,100,1,50,2020-11-12 14:00:00 UTC,67.43,77.9,81.96,22715.0,-20.4,56.2,43.2,55.05
TS623,11/12/2020 20:34 UTC,61,51,4,75,2020-11-12 20:00:00 UTC,28.51,38.27,41.78,23075.0,-22.6,66.0,36.4,34.79
TS623,11/13/2020 02:34 UTC,51,76,1,313,2020-11-13 02:00:00 UTC,21.61,27.82,30.65,23435.0,-24.2,66.2,35.4,27.72
TS623,11/13/2020 08:34 UTC,42,100,2,78,2020-11-13 08:00:00 UTC,26.13,34.35,37.94,23795.0,-22.2,63.0,36.0,32.81
TS623,11/13/2020 14:34 UTC,37,100,3,55,2020-11-13 14:00:00 UTC,45.12,61.48,68.37,24155.0,-25.4,54.6,43.0,48.51
TS623,11/13/2020 20:34 UTC,63,55,5.99,136,2020-11-13 20:00:00 UTC,33.15,42.66,46.14,24515.0,-19.8,68.0,36.8,37.25
TS623,11/14/2020 02:34 UTC,59,61,5.99,299,2020-11-14 02:00:00 UTC,5.91,6.63,7.01,24875.0,-21.4,69.0,38.6,6.63
TS623,11/14/2020 08:34 UTC,55,96,5.99,273,2020-11-14 08:00:00 UTC,4.56,4.97,5.16,25235.0,-24.2,66.0,47.0,4.97
TS623,11/14/2020 14:34 UTC,42,100,5.99,303,2020-11-14 14:00:00 UTC,12.51,15.09,16.32,25595.0,-22.0,61.0,48.2,14.73
TS623,11/14/2020 20:34 UTC,56,100,5.99,12,2020-11-14 20:00:00 UTC,23.92,30.88,32.47,25955.0,-23.0,64.0,56.0,30.09
TS623,11/15/2020 02:34 UTC,47,100,1,258,2020-11-15 02:00:00 UTC,17.0,20.57,21.7,26315.0,-21.2,70.0,43.0,20.57
TS623,11/15/2020 08:34 UTC,38,100,1,24,2020-11-15 08:00:00 UTC,19.44,26.13,27.47,26675.0,-23.2,65.0,43.0,26.13
TS623,11/15/2020 14:34 UTC,39,100,2,19,2020-11-15 14:00:00 UTC,23.39,29.11,30.55,27035.0,-22.8,53.0,46.0,29.08
TS623,11/15/2020 20:34 UTC,62,68,4,6,2020-11-15 20:00:00 UTC,17.21,21.63,22.84,27395.0,-22.0,66.0,43.2,21.63
TS623,11/16/2020 02:34 UTC,55,65,1,291,2020-11-16 02:00:00 UTC,12.9,16.35,18.39,27755.0,-24.6,70.0,34.0,16.35
TS623,11/16/2020 08:34 UTC,44,100,1,63,2020-11-16 08:00:00 UTC,19.69,25.01,26.93,28115.0,-21.2,63.0,36.0,25.01
TS623,11/16/2020 14:34 UTC,40,100,4,76,2020-11-16 14:00:00 UTC,24.68,30.09,31.81,28475.0,-24.2,56.0,44.0,29.87
TS623,11/16/2020 20:34 UTC,67,48,4,85,2020-11-16 20:00:00 UTC,18.93,24.87,27.46,28835.0,-21.4,70.0,31.2,24.87
TS623,11/17/2020 02:34 UTC,56,93,3,65,2020-11-17 02:00:00 UTC,25.83,33.55,36.91,191.0,-74.6,69.2,37.2,31.83
TS623,11/17/2020 08:34 UTC,51,100,5,128,2020-11-17 08:00:00 UTC,31.03,40.74,43.57,551.0,-73.0,66.0,38.0,36.19
TS623,11/17/2020 14:34 UTC,51,100,8,129,2020-11-17 14:00:00 UTC,51.6,72.19,79.89,911.0,-72.8,62.4,46.0,51.04
TS623,11/17/2020 20:34 UTC,68,53,4,118,2020-11-17 20:00:00 UTC,17.47,22.66,24.46,1271.0,-72.8,74.0,32.2,22.66
TS623,11/18/2020 02:34 UTC,66,54,8,235,2020-11-18 02:00:00 UTC,5.63,6.39,7.15,1631.0,-20.4,75.0,26.0,6.39
TS623,11/18/2020 08:34 UTC,56,100,7,290,2020-11-18 08:00:00 UTC,7.06,7.76,8.18,1991.0,-24.0,70.0,48.0,7.76
TS623,11/18/2020 14:34 UTC,54,100,5.99,94,2020-11-18 14:00:00 UTC,6.37,6.95,7.29,2351.0,-23.2,67.0,57.0,6.95
TS623,11/18/2020 20:34 UTC,63,100,7,131,2020-11-18 20:00:00 UTC,11.51,13.12,13.61,2711.0,-23.6,70.8,59.0,13.12
TS623,11/19/2020 02:34 UTC,58,100,0,0,2020-11-19 02:00:00 UTC,9.46,10.45,10.96,3071.0,-23.0,71.0,53.0,10.45
